s680,s720,s760,s800,l680,l720,l760,l800,Normalized_O2_HHb,Heart_Rate
2429896.0,4508569.0,3908478.0,5720432.0,470717.0,894550.0,703861.0,1051111.0,0.017543859779834747,59.0
2555574.0,4740368.0,4109880.0,6021743.0,495871.0,940702.0,740383.0,1106141.0,0.05882352963089943,59.0
2555514.0,4741014.0,4110097.0,6021093.0,494950.0,939817.0,739364.0,1104789.0,0.017543859779834747,59.0
2557737.0,4743621.0,4113265.0,6028537.0,495914.0,941496.0,740031.0,1106472.0,0.017543859779834747,59.0
2557914.0,4741794.0,4111834.0,6026836.0,494431.0,938790.0,739019.0,1105016.0,0.017543859779834747,59.0
2559229.0,4745830.0,4115786.0,6032779.0,495681.0,940409.0,740376.0,1107769.0,0.017543859779834747,60.0
2557706.0,4743181.0,4113190.0,6029087.0,494934.0,939248.0,739332.0,1106034.0,0.017543859779834747,60.0
2557975.0,4745497.0,4117095.0,6035217.0,495047.0,940308.0,740625.0,1107384.0,0.017543859779834747,60.0
2558193.0,4744470.0,4115930.0,6032603.0,494049.0,939404.0,740220.0,1105367.0,0.017543859779834747,60.0
2559583.0,4747438.0,4119663.0,6040561.0,494866.0,940743.0,741610.0,1108901.0,0.017543859779834747,60.0
2558580.0,4743804.0,4115405.0,6036176.0,495266.0,940047.0,740099.0,1105625.0,0.017543859779834747,60.0
2559123.0,4746165.0,4116630.0,6040426.0,496175.0,941156.0,740818.0,1108575.0,0.017543859779834747,60.0
2555995.0,4741389.0,4113159.0,6034877.0,494567.0,939879.0,739874.0,1107941.0,0.0,60.0
2556461.0,4743571.0,4115806.0,6035735.0,495321.0,940484.0,740825.0,1108407.0,0.017543859779834747,61.0
2552979.0,4737851.0,4112845.0,6030197.0,493134.0,936717.0,737405.0,1103920.0,0.0,62.0
2555063.0,4740535.0,4113596.0,6035347.0,493401.0,936706.0,737659.0,1104301.0,0.017543859779834747,62.0
2553042.0,4740429.0,4113571.0,6035325.0,491748.0,936988.0,737833.0,1103181.0,0.017543859779834747,62.0
